community_id,size,e_in,e_cut,density,conductance,avg_clustering
812,20965,30397,7293,0.0001,0.1071,0.0271
2051,14390,17742,14775,0.0002,0.294,0.0601
2364,13825,17211,13795,0.0002,0.2861,0.0284
245,11341,13207,9992,0.0002,0.2745,0.0344
49,10944,12210,4394,0.0002,0.1525,0.0048
62,10470,12629,686,0.0002,0.0264,0.0131
8126,7467,8396,352,0.0003,0.0205,0.0073
3,7110,7396,3653,0.0003,0.198,0.007
33,6648,7091,2243,0.0003,0.1366,0.0046
11,6140,7472,2831,0.0004,0.1593,0.0135
73,5671,6020,3316,0.0004,0.2159,0.0099
80,5462,6514,698,0.0004,0.0509,0.0064
7813,4927,5736,1034,0.0005,0.0827,0.0097
8,4896,5209,3214,0.0004,0.2358,0.0151
1554,4610,4934,1365,0.0005,0.1215,0.0103
105,3540,3656,1711,0.0006,0.1896,0.0046
292,3101,3170,1042,0.0007,0.1412,0.0033
66,3087,3168,1655,0.0007,0.2071,0.0029
3887,3047,3135,1366,0.0007,0.1789,0.0032
874,2859,2928,904,0.0007,0.1337,0.0021
209,2658,2970,1301,0.0008,0.1797,0.028
58,2607,2736,1718,0.0008,0.2389,0.0126
5,2524,2611,1684,0.0008,0.2438,0.0107
6,2340,2425,1114,0.0009,0.1868,0.005
457,2292,2582,879,0.001,0.1455,0.0171
1485,2247,2291,751,0.0009,0.1408,0.0045
1790,2244,2773,409,0.0011,0.0687,0.039
447,1962,1996,810,0.001,0.1687,0.0048
190,1956,2040,929,0.0011,0.1855,0.0116
187,1888,1997,1013,0.0011,0.2023,0.0246
9162,1787,1833,741,0.0011,0.1681,0.0077
3635,1754,1813,391,0.0012,0.0973,0.0036
9071,1726,1768,722,0.0012,0.1696,0.004
216,1510,1724,632,0.0015,0.1549,0.0126
5019,1498,1510,545,0.0013,0.1529,0.0047
106,1474,1495,552,0.0014,0.1558,0.0049
6978,1458,1487,428,0.0014,0.1258,0.0044
120,1426,1454,598,0.0014,0.1706,0.0071
242,1425,1446,468,0.0014,0.1393,0.0023
1,1421,1435,365,0.0014,0.1128,0.0043
56,1380,1509,400,0.0016,0.117,0.0137
102,1342,1374,635,0.0015,0.1877,0.0081
4453,1272,1295,645,0.0016,0.1994,0.0061
76,1268,1291,585,0.0016,0.1847,0.0036
197,1261,1288,396,0.0016,0.1332,0.0056
3325,1243,1272,717,0.0016,0.2199,0.0093
155,1230,1287,333,0.0017,0.1146,0.0091
6697,1210,1253,360,0.0017,0.1256,0.0061
50,1169,1180,443,0.0017,0.158,0.0047
449,1168,1196,514,0.0018,0.1769,0.0146
2414,1152,1248,86,0.0019,0.0333,0.0149
191,1116,1134,572,0.0018,0.2014,0.0061
840,1088,1277,207,0.0022,0.075,0.0097
423,1073,1085,415,0.0019,0.1605,0.0026
17,1062,1112,707,0.002,0.2412,0.0195
889,967,994,138,0.0021,0.0649,0.001
4077,967,988,462,0.0021,0.1895,0.0105
1710,964,988,512,0.0021,0.2058,0.0047
5693,908,917,346,0.0022,0.1587,0.0075
311,779,779,153,0.0026,0.0894,0.0
203,753,762,302,0.0027,0.1654,0.0068
11048,751,754,307,0.0027,0.1691,0.0009
2846,737,744,250,0.0027,0.1438,0.0059
415,689,711,332,0.003,0.1893,0.0139
1020,639,655,218,0.0032,0.1427,0.0018
2165,620,662,272,0.0034,0.1704,0.0249
12961,593,595,141,0.0034,0.1059,0.0024
89,582,594,2,0.0035,0.0017,0.0057
103,571,573,195,0.0035,0.1454,0.0083
159,516,656,135,0.0049,0.0933,0.0357
2797,512,581,126,0.0044,0.0978,0.021
52,502,508,183,0.004,0.1526,0.0
4495,467,469,124,0.0043,0.1168,0.0043
601,466,470,143,0.0043,0.132,0.0086
10874,417,421,116,0.0049,0.1211,0.0101
1444,405,421,191,0.0051,0.1849,0.02
6754,384,385,66,0.0052,0.0789,0.0065
55,227,226,93,0.0088,0.1706,0.0
5908,220,222,89,0.0092,0.167,0.0114
8186,208,209,31,0.0097,0.069,0.0
7564,169,168,27,0.0118,0.0744,0.0
290,164,163,28,0.0122,0.0791,0.0
8761,152,151,46,0.0132,0.1322,0.003
5055,142,142,1,0.0142,0.0035,0.0141
1146,122,816,18,0.1106,0.0109,0.8393
464,108,109,7,0.0189,0.0311,0.0287
6059,108,109,24,0.0189,0.0992,0.0102
12604,105,105,42,0.0192,0.1667,0.0191
99,87,87,1,0.0233,0.0057,0.023
337,69,68,0,0.029,0.0,0.0
3190,58,57,1,0.0345,0.0087,0.0
652,49,48,0,0.0408,0.0,0.0
579,37,37,12,0.0556,0.1395,0.0098
4655,36,35,1,0.0556,0.0141,0.0
6148,35,34,1,0.0571,0.0145,0.0
1908,32,31,11,0.0625,0.1507,0.0
705,29,28,0,0.069,0.0,0.0
3968,29,28,1,0.069,0.0175,0.0
862,28,27,0,0.0714,0.0,0.0
3077,28,27,3,0.0714,0.0526,0.0
